Date,Price,Open,High,Low,Vol.,Change %,Change(2),,,,,
4/18/2024,55.25,54.88,55.53,54.76,3.47M,1.45%,1.5%,,,,,
4/19/2024,56.29,55.42,56.41,55.42,4.42M,1.88%,1.9%,,,,,
4/22/2024,57.16,56.72,57.47,56.31,2.94M,1.55%,1.6%,,,,,
4/23/2024,57.44,57.14,57.83,57.09,2.86M,0.49%,0.5%,,,,,
4/24/2024,57.95,57.03,58.01,56.99,3.23M,0.89%,0.9%,,,,,
4/25/2024,57.18,57.3,57.69,56.76,3.25M,-1.33%,1.3%,,,,,
4/26/2024,57.32,57.25,57.7,57.08,2.06M,0.24%,0.2%,,,,,
4/29/2024,57.33,57.39,57.82,57.08,2.64M,0.02%,0.0%,,,,,
4/30/2024,56.49,57.19,57.3,56.46,3.53M,-1.47%,1.5%,,,,,
5/1/2024,56.46,56.53,56.93,56.08,4.05M,-0.05%,0.1%,,,,,
5/2/2024,56.6,56.92,57.17,56.31,3.19M,0.25%,0.3%,,,,,
5/3/2024,57,56.91,57.21,56.48,2.21M,0.71%,0.7%,,,,,
5/6/2024,57.48,57.5,57.6,56.98,2.40M,0.84%,0.8%,,,,,
5/7/2024,57.4,57.42,57.97,57.35,2.82M,-0.14%,0.1%,,,,,
5/8/2024,57.51,57.23,57.75,57.12,2.94M,0.19%,0.2%,,,,,
5/9/2024,58.35,57.32,58.52,57.32,3.79M,1.46%,1.5%,,,,,
5/10/2024,58.44,58.54,58.74,58.33,3.26M,0.15%,0.2%,,,,,
5/13/2024,57.85,58.61,58.75,57.84,2.14M,-1.01%,1.0%,,,,,
5/14/2024,58.35,57.9,58.45,57.81,2.88M,0.86%,0.9%,,,,,
5/15/2024,58.8,58.63,58.94,58.4,2.71M,0.77%,0.8%,,,,,
5/16/2024,58.77,58.8,59.22,58.75,2.60M,-0.05%,0.1%,,,,,
5/17/2024,59.5,59.06,59.55,58.69,2.90M,1.24%,1.2%,,,,,
5/20/2024,58.95,59.52,59.7,58.77,1.93M,-0.92%,0.9%,,,,,
5/21/2024,59.08,58.92,59.17,58.69,2.56M,0.22%,0.2%,,,,,
5/22/2024,58.97,58.86,59.17,58.47,3.22M,-0.19%,0.2%,,,,,
5/23/2024,58.33,58.99,58.99,58.1,2.55M,-1.09%,1.1%,,,,,
5/24/2024,59.09,58.57,59.13,58.51,2.10M,1.30%,1.3%,,,,,
5/28/2024,58.24,58.98,59.15,58.14,2.40M,-1.44%,1.4%,,,,,
5/29/2024,57.76,57.65,57.98,57.26,2.87M,-0.82%,0.8%,,,,,
5/30/2024,58.42,57.94,58.83,57.8,4.53M,1.14%,1.1%,,,,,
5/31/2024,59.61,58.5,59.69,58.38,5.17M,2.04%,2.0%,,,,,
6/3/2024,59.57,59.59,59.64,58.77,2.43M,-0.07%,0.1%,,,,,
6/4/2024,58.87,59.1,59.39,58.4,2.65M,-1.18%,1.2%,,,,,
6/5/2024,58.89,59.05,59.15,58.52,2.28M,0.03%,0.0%,,,,,
6/6/2024,59.91,58.88,59.93,58.44,3.82M,1.73%,1.7%,,,,,
6/7/2024,60.31,59.63,60.67,59.58,3.32M,0.67%,0.7%,,,,,
6/10/2024,60.74,59.92,60.87,59.8,3.84M,0.71%,0.7%,,,,,
6/11/2024,58.76,60.37,60.82,58.6,3.45M,-3.26%,3.3%,,,,,
6/12/2024,58.61,59.58,59.72,58.35,3.11M,-0.26%,0.3%,,,,,
6/13/2024,58.5,58.38,58.58,57.71,2.63M,-0.19%,0.2%,,,,,
6/14/2024,58.02,58.01,58.4,57.74,2.33M,-0.82%,0.8%,,,,,
6/17/2024,58.17,57.82,58.22,57.18,3.06M,0.26%,0.3%,,,,,
6/18/2024,58.68,58.16,58.7,57.79,3.38M,0.88%,0.9%,,,,,
6/20/2024,58.84,58.54,59.13,58.51,2.78M,0.27%,0.3%,,,,,
6/21/2024,58.82,58.83,58.95,58.41,12.37M,-0.03%,0.0%,,,,,
6/24/2024,59.48,58.99,59.83,58.88,2.93M,1.12%,1.1%,,,,,
6/25/2024,58.79,59.09,59.25,58.61,2.07M,-1.16%,1.2%,,,,,
6/26/2024,58.67,58.48,58.81,58.19,4.27M,-0.20%,0.2%,,,,,
6/27/2024,59.54,59.57,59.71,59,3.90M,1.48%,1.5%,,,,,
6/28/2024,59.89,59.77,60.07,59.46,5.92M,0.59%,0.6%,,,,,
7/1/2024,60.11,60.49,60.56,59.78,2.64M,0.37%,0.4%,,,,,
7/2/2024,60.5,59.99,60.53,59.89,3.03M,0.65%,0.7%,,,,,
7/3/2024,60.47,60.74,60.91,60.29,1.53M,-0.05%,0.1%,,,,,
7/5/2024,59.88,60.39,60.39,59.65,2.23M,-0.98%,1.0%,,,,,
7/8/2024,59.54,60.04,60.18,59.19,3.98M,-0.57%,0.6%,,,,,
7/9/2024,60.21,59.62,60.63,59.41,3.87M,1.13%,1.1%,,,,,
7/10/2024,60.7,60.2,60.74,60.02,3.10M,0.81%,0.8%,,,,,
7/11/2024,61.47,60.72,61.55,60.47,4.17M,1.27%,1.3%,,,,,
7/12/2024,64.69,63.13,64.93,62.63,9.39M,5.24%,5.2%,,,,,
7/15/2024,65.71,64.65,65.9,64.65,6.33M,1.58%,1.6%,,,,,
7/16/2024,65.02,65.55,65.9,64.79,5.20M,-1.05%,1.1%,,,,,
7/17/2024,64.09,65.22,65.65,63.91,7.34M,-1.43%,1.4%,,,,,
7/18/2024,63.48,64,64.4,62.75,6.17M,-0.95%,1.0%,,,,,
7/19/2024,62.69,63.78,63.78,62.66,3.57M,-1.24%,1.2%,,,,,
7/22/2024,63.26,62.36,63.29,62.08,4.43M,0.91%,0.9%,,,,,
7/23/2024,63.63,63.3,64.92,63.29,6.74M,0.58%,0.6%,,,,,
7/24/2024,63.9,63.78,64.63,63.57,4.73M,0.42%,0.4%,,,,,
7/25/2024,64.81,64.08,65.33,63.93,4.12M,1.42%,1.4%,,,,,
7/26/2024,65.35,65.06,65.86,64.93,3.90M,0.83%,0.8%,,,,,
7/29/2024,64.59,65.25,65.43,64.33,3.09M,-1.16%,1.2%,,,,,
7/30/2024,65.24,65.01,65.63,64.86,3.21M,1.01%,1.0%,,,,,
7/31/2024,65.07,65.55,65.61,64.78,4.97M,-0.26%,0.3%,,,,,
8/1/2024,64.64,65.24,65.48,64.13,4.96M,-0.66%,0.7%,,,,,
8/2/2024,63.12,63.85,64.66,62.64,6.16M,-2.35%,2.4%,,,,,
8/5/2024,61.42,61.6,62.24,60.93,5.60M,-2.69%,2.7%,,,,,
8/6/2024,62.19,61.45,62.97,61.25,3.63M,1.25%,1.3%,,,,,
8/7/2024,61.7,63.12,63.53,61.55,3.70M,-0.79%,0.8%,,,,,
8/8/2024,63.41,62.13,63.7,61.88,3.70M,2.77%,2.8%,,,,,
8/9/2024,63.78,63.37,63.81,63.23,3.46M,0.58%,0.6%,,,,,
8/12/2024,63.27,63.87,64.26,63.12,3.80M,-0.80%,0.8%,,,,,
8/13/2024,63.55,63.6,63.63,62.83,2.36M,0.44%,0.4%,,,,,
8/14/2024,64.11,63.61,64.38,63.5,2.79M,0.88%,0.9%,,,,,
8/15/2024,64.98,64.77,65.26,64.5,3.81M,1.36%,1.4%,,,,,
8/16/2024,65.61,65.05,65.73,65.03,7.02M,0.97%,1.0%,,,,,
8/19/2024,65.74,65.64,65.93,65.35,2.31M,0.20%,0.2%,,,,,
8/20/2024,65.34,65.76,65.76,65.11,2.48M,-0.61%,0.6%,,,,,
8/21/2024,65.24,65.46,65.58,65.01,3.03M,-0.15%,0.2%,,,,,
8/22/2024,65.49,65.4,65.97,65.24,3.13M,0.38%,0.4%,,,,,
8/23/2024,66.4,65.79,66.53,65.5,2.75M,1.39%,1.4%,,,,,
8/26/2024,67,66.6,67.32,66.45,2.44M,0.90%,0.9%,,,,,
8/27/2024,67.21,66.99,67.62,66.91,2.54M,0.31%,0.3%,,,,,
8/28/2024,67,66.96,67.74,66.71,3.39M,-0.31%,0.3%,,,,,
8/29/2024,67.25,67.26,67.66,66.77,2.49M,0.37%,0.4%,,,,,
8/30/2024,68.22,67.34,68.37,67.12,4.35M,1.44%,1.4%,,,,,
9/3/2024,67.89,67.85,68.31,67.57,3.26M,-0.48%,0.5%,,,,,
9/4/2024,67.74,68.24,68.54,67.58,2.94M,-0.22%,0.2%,,,,,
9/5/2024,68,68.26,68.49,67.4,3.85M,0.38%,0.4%,,,,,
